Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Video Views,Paid Conversions,Paid Leads,Paid Qualified Leads
Jain (Deemed-to-be University),https://www.linkedin.com/company/jaindeemedtobeuniversity,High,116,202,790,,,111,,,
"Postgraduate Institute of Medical Education and Research (PGIMER), Chandigarh",https://www.linkedin.com/company/post-graduate-institute-of-medical-sciences,High,85,145,496,,,131,,,
"AIIMS (All India Institute of Medical Sciences, New Delhi)",https://www.linkedin.com/company/aiimsdelhi,High,72,71,472,,,92,,,
SR University,https://www.linkedin.com/company/sr-university,High,68,89,468,,,41,,,
Dayananda Sagar University,https://www.linkedin.com/company/dayananda-sagar-university-bangalore,High,79,86,346,,,77,,,
Yenepoya University,https://www.linkedin.com/company/yenepoya-university,High,73,77,318,,,29,,,
Indian Council of Medical Research (ICMR),https://www.linkedin.com/company/icmrorganization,Very High,581,738,309,,,65,,,
Bharati Vidyapeeth,https://www.linkedin.com/company/bharatividyapeeth,Very High,103,112,301,,,39,,,
"Kasturba Medical College, Manipal",https://www.linkedin.com/company/kasturbamedicalcollegemanipal,High,82,82,229,,,30,,,
KLE Technological University - Hubballi (India),https://www.linkedin.com/company/kletechbvb,High,44,46,222,,,26,,,
M. S. RAMAIAH UNIVERSITY OF APPLIED SCIENCES,https://www.linkedin.com/company/m-s-ramaiah-university-of-applied-sciences,Very High,49,93,183,,,10,,,
JSS Academy of Higher Education & Research,https://www.linkedin.com/company/jssaher-mysuru,Very High,77,106,168,,,30,,,
Vydehi Institute Of Medical Sciences and Research Centre,https://www.linkedin.com/company/vydehi-institute-of-medical-sciences-and-research-centre,High,16,36,158,,,17,,,
Amrita Institute of Medical Sciences and Research Centre,https://www.linkedin.com/company/kochicampus,Very High,59,60,155,,,26,,,
"ITM UNIVERSITY, GWALIOR",https://www.linkedin.com/company/itm-university-gwalior,High,38,39,152,,,20,,,
King George's Medical University,https://www.linkedin.com/company/kgmu,Very High,49,61,149,,,23,,,
"Assam Don Bosco University, Guwahati",https://www.linkedin.com/company/dbuniversity,High,16,22,119,,,5,,,
Rajiv Gandhi University of Health Sciences,https://www.linkedin.com/company/rajiv-gandhi-university-of-health-sciences,Very High,79,99,119,,,9,,,
"National Institute of Mental Health and Neuro Sciences (NIMHANS), India",https://www.linkedin.com/company/shri-sharada-b.ed.-college-bm-road-ramanagaram-571-511.,Very High,41,61,113,,,6,,,
KLE Academy of Higher Education and Research,https://www.linkedin.com/company/kaher-edu-in,Very High,3519,4832,105,,,8,,,
Maharashtra University of Health Sciences,https://www.linkedin.com/company/maharashtra-university-of-health-sciences,Very High,73,82,105,,,19,,,
Datta Meghe Institute of Higher Education and Research Deemed to be University-DMIHER,https://www.linkedin.com/company/dmimsu,High,34,35,101,,,7,,,
Presidency School,https://www.linkedin.com/company/presidencyschool,Very High,42,42,101,,,4,,,
International Institute for Population Sciences,https://www.linkedin.com/company/iipsumbai,Very High,55,54,100,,,34,,,
Indian Institute of Technology Dharwad,https://www.linkedin.com/company/iitdharwad,High,11,22,100,,,11,,,
NIMHANS,https://www.linkedin.com/company/nimhans,High,21,36,99,,,16,,,
Royal College of Physicians,https://www.linkedin.com/company/royal-college-of-physicians,Very High,101,128,98,,,44,,,
"Govt. Medical College, Nagpur",https://www.linkedin.com/company/govt.-medical-college-nagpur,High,14,15,92,,,26,,,
JAWAHARLAL NEHRU MEDICAL COLLEGE,https://www.linkedin.com/company/jawaharlal-nehru-medical-college,Very High,533,801,89,,,3,,,
"JSS Medical College, Mysore",https://www.linkedin.com/company/jss-medical-college-mysore,Very High,77,80,83,,,9,,,
Pondicherry Institute of Medical Sciences,https://www.linkedin.com/company/pondicherry-institute-of-medical-sciences,Very High,22,53,83,,,10,,,
Nitte University,https://www.linkedin.com/company/nitteuniversity,Very High,45,61,83,,,26,,,
American Academy of Neurology,https://www.linkedin.com/company/american-academy-of-neurology,Very High,52,70,81,,,36,,,
Nitte University,https://www.linkedin.com/company/nitteuni,High,18,19,76,,,3,,,
TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE,https://www.linkedin.com/company/translational-health-science-and-technology-institute,Very High,39,68,76,,,34,,,
SANJIVANI UNIVERSITY,https://www.linkedin.com/company/sanjivani-university,High,20,20,75,,,3,,,
MSAI - Medical Students' Association of India,https://www.linkedin.com/company/msaindia,Very High,137,177,75,,,8,,,
SMS Medical College - India,https://www.linkedin.com/company/sms-medical-college---india,Very High,71,77,75,,,9,,,
Krishna Vishwa Vidyapeeth 'Deemed to be University',https://www.linkedin.com/company/krishna-institute-of-medical-sciences-deemed-university-karad,Very High,121,128,69,,,16,,,
Ramaiah University of Applied Sciences,https://www.linkedin.com/company/ramaiahuniversity,Very High,22,25,67,,,4,,,
CMS Business School,https://www.linkedin.com/company/cmsbschool,Very High,31,41,67,,,11,,,
Karnatak University,https://www.linkedin.com/company/karnatak-university,High,11,11,66,,,,,,
Yenepoya (Deemed to be University),https://www.linkedin.com/company/yenepoya-deemed-to-be-university,High,9,11,64,,,,,,
Ballari Institute of Technology and Management,https://www.linkedin.com/company/ballari-institute-of-technology-and-management,High,10,14,64,,,5,,,
National Institute of Mental Health and Neuro Sciences,https://www.linkedin.com/company/national-institute-of-mental-health-and-neuro-sciences,Very High,86,100,64,,,14,,,
"ITS Dental College, Greater Noida",https://www.linkedin.com/company/itsdentalgn,Very High,79,97,62,,,13,,,
"Amrita Vishwa Vidyapeetham, Kochi Campus",https://www.linkedin.com/company/amritakochi,High,10,11,61,,,7,,,
PSG INSTITUTE OF MEDICAL SCIENCES & RESEARCH (Inst. Code - 012),https://www.linkedin.com/company/psg-institute-of-medical-sciences-research-inst-code-012,High,3,10,58,,,16,,,
"KLE Institute of Technology, HUBLI",https://www.linkedin.com/company/kle-institute-of-technology-hubli,Very High,39,78,56,,,3,,,
ICMR National Institute of Epidemiology (ICMR - NIE),https://www.linkedin.com/company/icmr-nie,High,20,20,56,,,32,,,
All India Institute Of Ayurveda,https://www.linkedin.com/company/all-india-institute-of-ayurveda,Very High,26,35,55,,,7,,,
Mamata Medical College,https://www.linkedin.com/company/mamata-medical-college,Very High,21,22,54,,,4,,,
BLDE University,https://www.linkedin.com/company/blde-university,High,5,8,52,,,17,,,
Translational Health Science and Technology Institute (THSTI),https://www.linkedin.com/company/translational-health-science-and-technology-institute-thsti,Very High,52,66,51,,,6,,,
Fortis Memorial Research Institute - India,https://www.linkedin.com/company/fortis-memorial-research-institute---india,Very High,8,19,50,,,12,,,
National Institute for Locomotor Disabilities,https://www.linkedin.com/company/national-institute-for-locomotor-disabilities,High,7,8,49,,,12,,,
Ramaiah Medical College,https://www.linkedin.com/company/m.s.-ramaiah-medical-college,Very High,38,81,49,,,,,,
Shri Dharmasthala Manjunatheshwara University,https://www.linkedin.com/company/sdmuniversity,Very High,43,57,48,,,14,,,
"Karnataka University, Dharwad",https://www.linkedin.com/company/karnataka-university-dharwad,High,7,8,48,,,4,,,
Sharda University Agra,https://www.linkedin.com/company/shardauniversityagra,Very High,18,30,47,,,,,,
Rajiv Gandhi Cancer Institute and Research Centre,https://www.linkedin.com/company/rajiv-gandhi-cancer-institute-research-centre,High,15,17,47,,,,,,
NMKRV College,https://www.linkedin.com/company/nmkrvcollege,High,13,13,46,,,4,,,
"Faculty of Management Studies and Research, Aligarh Muslim University",https://www.linkedin.com/company/dbafmsramu,Very High,28,37,46,,,7,,,
"Sri Aurobindo Institute of Medical Science, Indore",https://www.linkedin.com/company/sri-auroboindo-institute-of-medical-science-indore,Very High,11,20,45,,,4,,,
DR. D. Y. Patil Vidyapeeth (DPU),https://www.linkedin.com/company/dr-d-y-patil-medical-college---india,Very High,41,72,44,,,3,,,
Armed Forces Medical College,https://www.linkedin.com/company/armed-forces-medical-college,Very High,29,29,43,,,6,,,
"Jawaharlal Institute of Postgraduate Medical Education & Research (JIPMER), Puducherry",https://www.linkedin.com/company/college-of-nursing-sir-j-j-group-of-hospitals-byculla-mumbai-08-bsc-nursing-,Very High,21,22,43,,,13,,,
Rajendra Institute of Medical Sciences,https://www.linkedin.com/company/rajendra-institute-of-medical-sciences,Very High,140,181,42,,,11,,,
"Khaja Bandanawaz University (KBNU), Kalaburagi",https://www.linkedin.com/company/k-b-n-college-of-engineering-gulbarga,Very High,14,22,42,,,10,,,
CliniLaunch Research Institute,https://www.linkedin.com/company/clini-launch-research-institute,Very High,61,61,41,,,,,,
ICMR-National Institute of Nutrition,https://www.linkedin.com/company/icmr-national-institute-of-nutrition,Very High,57,80,41,,,10,,,
CSIR−Central Food Technological Research Institute (CFTRI),https://www.linkedin.com/company/csir-cftri,High,7,7,40,,,,,,
Inspire Institute of Sport,https://www.linkedin.com/company/inspire-institute-of-sport,Very High,18,18,40,,,4,,,
St Johns Research Institute,https://www.linkedin.com/company/sjri,Very High,24,28,40,,,8,,,
Nottingham Trent University,https://www.linkedin.com/company/nottingham-trent-university,High,7,7,40,,,8,,,
"Sri Devaraj Urs Academy of Higher Education and Research, Karnataka",https://www.linkedin.com/company/sduaher-official,High,6,7,38,,,5,,,
The George Institute for Global Health,https://www.linkedin.com/company/george-institute,Very High,52,94,38,,,,,,
Manipal School of Life Sciences,https://www.linkedin.com/company/manipal-school-of-life-sciences,Very High,16,17,36,,,3,,,
ICMR-National Institute of Malaria Research,https://www.linkedin.com/company/icmr-nimr,High,6,6,35,,,13,,,
Swarrnim Startup and Innovation University,https://www.linkedin.com/company/swarrnim-startup-and-innovation-university,High,11,7,35,,,9,,,
"Indira Gandhi National Tribal University, Amarkantak",https://www.linkedin.com/company/igntu,Very High,15,21,33,,,,,,
"Karnatak University, Dharwad",https://www.linkedin.com/company/karnataka-arts-and-commerce-college-dharwad,High,6,10,32,,,14,,,
RedTeam Hacker Academy,https://www.linkedin.com/company/redteamacademy,Very High,17,23,31,,,,,,
"Sudha Rustagi College of Dental Sc. & Res. Kheri More, Faridabad",https://www.linkedin.com/company/sudha-rustagi-college-of-dental-sc.-&-res.-kheri-more-faridabad,Very High,51,62,28,,,13,,,
Jawaharlal Nehru Medical College-JNMC,https://www.linkedin.com/company/jawaharlal-nehru-medical-college-wardha,Very High,15,30,28,,,4,,,
INDIAN INSTITUTE OF PACKAGING - IIP,https://www.linkedin.com/company/indian-institute-of-packaging---iip,High,8,8,28,,,4,,,
"Manipal Academy of Higher Education - MAHE, Dubai",https://www.linkedin.com/company/mahe-dubai,Very High,39,73,28,,,,,,
University of Pittsburgh,https://www.linkedin.com/company/university-of-pittsburgh,High,7,7,28,,,10,,,
Parul University Goa,https://www.linkedin.com/company/parul-university-goa,High,8,9,27,,,3,,,
Meenakshi Ammal Dental College,https://www.linkedin.com/company/meenakshi-ammal-dental-college,Very High,11,18,27,,,,,,
University of Birmingham,https://www.linkedin.com/company/university-of-birmingham,Very High,24,36,27,,,4,,,
Washington University in St. Louis,https://www.linkedin.com/company/washington-university-in-st-louis,Very High,18,29,27,,,7,,,
CliMed Academy (CliMed.Edu),https://www.linkedin.com/company/climededu,Very High,50,52,26,,,,,,
Indira Gandhi National Tribal University (IGNTU),https://www.linkedin.com/company/indira-gandhi-national-tribal-university-igntu,Very High,13,19,26,,,,,,
Asian Medical Students'​ Association India,https://www.linkedin.com/company/asian-medical-students-association-india,Very High,50,61,26,,,3,,,
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",https://www.linkedin.com/company/chatrapati-sahuji-maharaj-kanpur-university-kanpur,High,3,4,26,,,3,,,
Shridevi Institute of paramedical sciences,https://www.linkedin.com/company/shridevi-institute-of-paramedical-sciences,High,5,5,25,,,,,,
"Government Medical College, Bhavnagar",https://www.linkedin.com/company/governmentmedicalcollegebhavnagar,High,5,5,24,,,14,,,
"PUNJAB INSTITUTE OF MEDICAL SCIENCES, JALANDHAR",https://www.linkedin.com/company/pims-jalandhar,Very High,19,30,24,,,,,,
A.J. Institute of Medical Sciences and Research Centre - India,https://www.linkedin.com/company/a-j-institute-of-medical-sciences-and-research-centre---india,Very High,20,23,24,,,4,,,
KLE VK Dental College Belagavi,https://www.linkedin.com/company/kle-dental-college-belgavi,Very High,151,225,23,,,3,,,
"K.L.E. Society's S. Nijalingappa College (KLE SNC), Bengaluru",https://www.linkedin.com/company/k.l.e-society-s.-nijalingappa-college-rajajinagar-bangalore-10,High,4,5,23,,,,,,
Ashokrao Mane Group of Institutions- Rapidly Growing Institute in Western Maharashtra,https://www.linkedin.com/company/amgoi-official,High,3,4,23,,,,,,
Karnataka Veterinary Animal and Fisheries Sciences University,https://www.linkedin.com/company/karnataka-veterinary-animal-and-fisheries-sciences-university,High,4,4,23,,,,,,
Mahatma Gandhi Institute of Medical Sciences,https://www.linkedin.com/company/mahatma-gandhi-institute-of-medical-sciences,Very High,17,17,23,,,,,,
"National AIDS Research Institute, Pune",https://www.linkedin.com/company/national-aids-research-institute-pune,High,7,8,23,,,6,,,
Bharati College,https://www.linkedin.com/company/bharati-college,High,8,8,22,,,7,,,
University of Arizona,https://www.linkedin.com/company/uarizona,High,4,4,22,,,3,,,
Jawaharlal Nehru Medical College (JNMCH) | Aligarh Muslim University (AMU) - Aligarh,https://www.linkedin.com/company/jnmch-amu-jawaharlal-nehru-medical-college-hospital-aligarh-muslim-university-aligarh,Very High,50,73,21,,,,,,
All India Institute of Medical Science Gorakhpur,https://www.linkedin.com/company/aiimsgkp,Very High,12,14,21,,,4,,,
AISSMS College of Hotel Management and Catering Technology,https://www.linkedin.com/company/aissms-college-of-hotel-management-and-catering-technology,High,6,6,21,,,13,,,
Shri Guru Ram Rai Institute Of Medical & Health Sciences,https://www.linkedin.com/company/shri-guru-ram-rai-institute-of-medical-&-health-sciences,High,3,4,20,,,,,,
National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD),https://www.linkedin.com/company/national-institute-for-empowerment-of-persons-with,Very High,53,75,20,,,,,,
"KLE Society's Lingaraj College, Belgaum",https://www.linkedin.com/company/kle-society's-lingaraj-college-belgaum,Very High,7,11,20,,,,,,
"Manipal College of Dental Sciences, Mangalore",https://www.linkedin.com/company/manipal-college-of-dental-sciences-mangalore,High,3,3,20,,,,,,
Abeda Inamdar Senior College - India,https://www.linkedin.com/company/abeda-inamdar-senior-college---india,High,3,4,20,,,7,,,
Rajiv Gandhi University of Health Sciences (RGUHS),https://www.linkedin.com/company/dr-b-r-ambedkar-medical-college---india,Very High,13,14,20,,,,,,
ICMR - National Institute for Research on Women's Health (ICMR-NIRWoH),https://www.linkedin.com/company/icmrnirwoh,High,3,3,20,,,,,,
LLRI - Learning Labb Research Institute,https://www.linkedin.com/company/learning-labb-research-institute,Very High,50,78,19,,,3,,,
"MGM School of Physiotherapy, Navi Mumbai",https://www.linkedin.com/company/mgm-school-of-physiotherapy-navi-mumbai,Very High,7,9,19,,,6,,,
AIPH University,https://www.linkedin.com/company/aiphu,Very High,6,7,19,,,,,,
Indian Institute of Information Technology Ranchi,https://www.linkedin.com/company/indian-institute-of-information-technology-ranchi,Very High,16,22,19,,,4,,,
KLE INSTITUTE OF PHYSIOTHERAPY,https://www.linkedin.com/company/kle-institute-of-physiotherapy,Very High,61,78,19,,,4,,,
Sarvajanik College of Physiotherapy,https://www.linkedin.com/company/sarvajanik-college-of-physiotherapy,High,5,5,19,,,7,,,
M.S.Ramaiah Medical College,https://www.linkedin.com/company/m-s-ramaiah-medical-college,High,5,6,19,,,,,,
Jain PU & Degree College,https://www.linkedin.com/company/jainpudegreecollege,High,3,3,18,,,,,,
"National Institute of Public Health Training and Research, Mumbai",https://www.linkedin.com/company/national-institute-of-public-health-training-and-research-mumbai,Very High,44,44,18,,,9,,,
Chhatrapati Shahu Ji Maharaj University,https://www.linkedin.com/company/chhatrapati-shahu-ji-maharaj-university,High,3,4,18,,,,,,
University of KwaZulu-Natal,https://www.linkedin.com/company/university-of-kwazulu-natal,High,5,3,18,,,11,,,
University of Leicester,https://www.linkedin.com/company/university-of-leicester,High,4,4,18,,,8,,,
Institute of Development Studies Kolkata - India,https://www.linkedin.com/company/institute-of-development-studies-kolkata---india,Very High,16,16,17,,,4,,,
Lokmanya Tilak College of Engineering,https://www.linkedin.com/company/lokmanya-tilak-college-of-engineering,Very High,6,7,17,,,,,,
Cancer Institute (WIA),https://www.linkedin.com/company/cancer-institute-wia,High,7,5,16,,,,,,
Vaageswari College of Engineering (VGSEK),https://www.linkedin.com/company/vaageswaricollege,High,3,3,16,,,,,,
Ram Lal Anand College,https://www.linkedin.com/company/ram-lal-anand-college,High,,3,16,,,,,,
BRIC-National Institute of Biomedical Genomics,https://www.linkedin.com/company/bric-nibmg,Very High,12,19,15,,,,,,
Global Association of Indian Medical Students (GAIMS),https://www.linkedin.com/company/global-association-of-indian-medical-students,Very High,55,67,15,,,,,,
"NMIMS, Hyderabad Campus",https://www.linkedin.com/company/nmims-hyderabad-campus,High,5,5,15,,,,,,
Jawaharlal Nehru National College of Engineering,https://www.linkedin.com/company/jawaharlal-nehru-national-college-of-engineering,High,,3,15,,,,,,
Harvard T.H. Chan School of Public Health,https://www.linkedin.com/company/harvardpublichealth,Very High,6,13,15,,,3,,,
Shridevi Institute of Medical Sciences And Research Institute,https://www.linkedin.com/company/shridevi-institute-of-medical-sciences-and-research-institute,Very High,31,33,14,,,,,,
Dr. KM Cherian Institute of Medical Sciences,https://www.linkedin.com/company/kmcims,High,3,4,13,,,,,,
"Welcomgroup Graduate School of Hotel Administration, Manipal",https://www.linkedin.com/company/welcomgroup-graduate-school-of-hotel-administration-manipal,Very High,8,9,13,,,,,,
"Institute of Public Health, Bengaluru",https://www.linkedin.com/company/institute-of-public-health-bengaluru,Very High,26,36,13,,,,,,
University of Chicago,https://www.linkedin.com/company/uchicago,High,3,4,13,,,3,,,
Harvard Medical School,https://www.linkedin.com/company/harvard-medical-school,Very High,6,6,13,,,,,,
Hamdard Institute of Medical Sciences & Research,https://www.linkedin.com/company/himsr,Very High,6,18,12,,,,,,
Rishi Valley School,https://www.linkedin.com/company/rishi-valley,High,4,4,12,,,4,,,
"JMFs ACPM Dental College, Sakri Road, Dhule",https://www.linkedin.com/company/jmfs-acpm-dental-college-sakri-road-dhule,Very High,15,23,12,,,,,,
Navodaya Education Trust,https://www.linkedin.com/company/navodayaeducationtrust,High,3,3,11,,,,,,
JSS College dharwad,https://www.linkedin.com/company/jss-college-dharwad,High,4,4,11,,,,,,
Sri Siddhartha Medical College,https://www.linkedin.com/company/sri-siddhartha-medical-college,Very High,57,65,11,,,,,,
Shri Ratanlal Kanwarlal patni Girls college,https://www.linkedin.com/company/shri-ratanlal-kanwarlal-patni-girls-college,High,3,3,11,,,,,,
Manipal University College Malaysia,https://www.linkedin.com/company/mucm,Very High,7,6,11,,,,,,
Qassim University,https://www.linkedin.com/company/qassim-university,Very High,221,432,11,,,,,,
University of Otago,https://www.linkedin.com/company/university-of-otago,Very High,5,6,11,,,,,,
The University of Western Australia,https://www.linkedin.com/company/university-of-western-australia,Very High,5,5,11,,,,,,
SGT University - FACULTY OF PHYSIOTHERAPY,https://www.linkedin.com/company/sgt-university-faculty-of-physiotherapy,High,3,3,10,,,,,,
"Raja Lakhamgouda Law College, Belagavi",https://www.linkedin.com/company/raja-lakhamgouda-law-college-belgaum,Very High,13,21,10,,,,,,
"Chhatrapati Shivaji Maharaj University, Panvel",https://www.linkedin.com/company/pillais-college-of-architecture,Very High,3,4,10,,,,,,
SDM Medical College - India,https://www.linkedin.com/company/sdm-medical-college---india,Very High,19,20,10,,,,,,
The University of Waikato,https://www.linkedin.com/company/universityofwaikato,Very High,4,14,10,,,,,,
Rutgers University,https://www.linkedin.com/company/rutgersu,Very High,18,18,10,,,,,,
"KLE DR.M S Sheshgiri College of Engineering and Technology, Belagavi",https://www.linkedin.com/company/klescet,Very High,13,8,9,,,,,,
K L E SOCIETY'S JAWAHARLAL NEHRU MEDICAL COLLEGE,https://www.linkedin.com/company/k-l-e-society's-jawaharlal-nehru-medical-college,Very High,112,235,9,,,,,,
D406 LVD College Raichur,https://www.linkedin.com/company/d406-lvd-college-raichur,Very High,5,6,9,,,,,,
"GULBARGA INSTITUTE OF MEDICAL SCIENCES, GULBARGA",https://www.linkedin.com/company/gulbarga-institute-of-medical-sciences-gulbarga,Very High,7,8,9,,,,,,
"Sri Sathya Sai Institute of Higher Medical Sciences, Whitefield",https://www.linkedin.com/company/sssihmswfd,Very High,63,87,9,,,6,,,
Jindal Naturecure Institute,https://www.linkedin.com/company/jindalnaturecure,Very High,13,13,9,,,,,,
Gulf Medical University,https://www.linkedin.com/company/gulf-medical-university,Very High,8,10,9,,,,,,
University College Cork,https://www.linkedin.com/company/university-college-cork-ireland-ucc-,Very High,21,36,9,,,3,,,
vidyaniketan pu science college hubli,https://www.linkedin.com/company/vidyaniketan-pu-science-college-hubli,Very High,43,45,8,,,,,,
M M Joshi Eye Institute,https://www.linkedin.com/company/mmjoshi-eyeinstitute,Very High,4,4,8,,,,,,
"Terna Public Charitable Trust s College of Physiotherapy, Navi Mumbai",https://www.linkedin.com/company/terna-public-charitable-trust-s-college-of-physiotherapy-navi-mumbai,Very High,19,19,8,,,,,,
"Vilasrao Deshmukh Government Medical College, Latur",https://www.linkedin.com/company/vdgmc,Very High,4,5,7,,,,,,
The Gandhigram Institute of Rural Health and Family Welfare Trust,https://www.linkedin.com/company/the-gandhigram-institute-of-rural-health-and-family-welfare-trust,Very High,8,9,7,,,,,,
Gayatri Vidya Parishad Institute of Health Care and Medical Technology,https://www.linkedin.com/company/gvpihcmt,Very High,,3,7,,,,,,
MGM Institute of Physiotherapy,https://www.linkedin.com/company/mgm-institute-of-physiotherapy,Very High,5,5,7,,,5,,,
KLE Ayurveda Medical College,https://www.linkedin.com/company/kle-ayurveda-medical-college,Very High,18,19,7,,,,,,
Heritage Institute of Medical Sciences,https://www.linkedin.com/company/heritage-institute-of-medical-sciences,Very High,37,60,7,,,,,,
Peoples Education Society & Trust / Belgaum Institute of Management Studies,https://www.linkedin.com/company/peoples-education-society-&-trust-belgaum-institute-of-management-studies,Very High,4,5,7,,,,,,
Sunway University,https://www.linkedin.com/company/sunway.university,Very High,5,5,7,,,,,,
Presidency College Autonomous Bengaluru 560024,https://www.linkedin.com/company/presidency-degree-ug-and-pg-college-hebbal-bengaluru,Very High,9,11,6,,,,,,
SRM UNIVERSITY ADMISSION INFORMATION,https://www.linkedin.com/company/srm-university-admission-information,Very High,3,4,6,,,,,,
"MELMARUVATHUR ADHIPARASAKTHI INSTITUTE OF MEDICAL SCIENCES AND RESEARCH (Inst. Code - 243), KANCHEEPURAM",https://www.linkedin.com/company/melmaruvathur-adhiparasakthi-institute-of-medical-,Very High,5,5,6,,,,,,
NITTE INSTITUTE OF PHYSIOTHERAPY,https://www.linkedin.com/company/nitte-institute-of-physiotherapy,Very High,9,9,6,,,,,,
"Sri Siddhartha Medical College, Tumkur",https://www.linkedin.com/company/sri-siddhartha-medical-college-tumkur,Very High,3,3,6,,,,,,
"Indian Institute of Public Health, Hyderabad",https://www.linkedin.com/company/indian-institute-of-public-health-hyderabad,Very High,9,9,5,,,,,,
National Board of Examinations in Medical Sciences,https://www.linkedin.com/company/national-board-of-examinations-in-medical-sciences,Very High,7,7,5,,,,,,
Shri B.M.Patil Medical College,https://www.linkedin.com/company/shri-b.m.patil-medical-college,Very High,45,81,5,,,,,,
KLE Technological University,https://www.linkedin.com/company/kle-technological-university,Very High,95,142,5,,,,,,
RAK Medical & Health Sciences University,https://www.linkedin.com/company/rakmhsuofficial,Very High,83,297,5,,,,,,
Maratha Mandal Dental College - India,https://www.linkedin.com/company/maratha-mandal-dental-college---india,Very High,24,39,5,,,,,,
Rhodes University,https://www.linkedin.com/company/rhodes-university,Very High,5,5,5,,,,,,
Kerala University of Health Sciences (KUHS),https://www.linkedin.com/company/keralauniversityofhealthsciences,Very High,10,11,4,,,,,,
Angadi Institute of Technology and Management,https://www.linkedin.com/company/aitm.com,Very High,6,6,4,,,,,,
BSBE Department IIT DHARWAD,https://www.linkedin.com/company/bsbe-department-iit-dharwad,Very High,5,5,4,,,,,,
PRS Neurosciences and Mechatronics Research Institute,https://www.linkedin.com/company/prs-neurosciences-and-mechatronics-research-institute,Very High,7,7,4,,,,,,
kle college of physiotherapy hubballi,https://www.linkedin.com/company/kle-college-of-physiotherapy-hubballi,Very High,9,37,4,,,,,,
"Khaja Bandanawaz University, Kalaburagi",https://www.linkedin.com/company/kbnu,Very High,6,7,4,,,,,,
"The Oxford College, Bengaluru",https://www.linkedin.com/company/the-oxford-college-bengaluru,Very High,9,22,4,,,,,,
"Centre for Healthcare, Indian Institute of Management Udaipur",https://www.linkedin.com/company/cfh-iimu,Very High,13,20,4,,,,,,
The Oxford College of Physiotherapy,https://www.linkedin.com/company/the-oxford-college-of-physiotherapy,Very High,135,161,4,,,4,,,
The University of Texas Medical Branch,https://www.linkedin.com/company/utmb,Very High,4,4,4,,,,,,
University of Adelaide,https://www.linkedin.com/company/uniofadelaide,Very High,54,111,4,,,,,,
"D Y Patil Education Society (Deemed to be University), Kolhapur",https://www.linkedin.com/company/dypatiluniversity,Very High,47,51,3,,,,,,
Kodagu Institute of Medical Sciences,https://www.linkedin.com/company/kodagu-institute-of-medical-sciences,Very High,3,3,3,,,,,,
Khaja Bandanawaz University,https://www.linkedin.com/company/khaja-bandanawaz-university,Very High,40,44,3,,,,,,
School of Allied Health Sciences,https://www.linkedin.com/company/school-of-allied-health-sciences-sahs,Very High,9,15,3,,,,,,
Arogyam Institute,https://www.linkedin.com/company/arogyam-institute,Very High,6,7,3,,,,,,
Maharajas college Mysore,https://www.linkedin.com/company/maharajas-college-mysore,Very High,24,25,3,,,,,,
Institute of Post Graduate Teaching and Research in Ayurved,https://www.linkedin.com/company/institute-of-post-graduate-teaching-and-research-in-ayurved,Very High,26,35,3,,,,,,
Institute for Health Metrics and Evaluation,https://www.linkedin.com/company/institute-for-health-metrics-and-evaluation,Very High,19,19,3,,,,,,
Newcastle University,https://www.linkedin.com/company/newcastle-university,Very High,6,5,3,,,,,,
